Pais,CodigoISOpaís,Oficinaderegistro,Grupoedad,Edad,areaConocimiento,SubAreaConocimiento,NivelAcademico,Estadocivil,Genero,Etniadelapersona,Estatura ,Localizacion,Cantidaddepersonas
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,50,CIENCIAS SOCIALES Y HUMANAS,"PERIODISMO, COMUNICACIÓN SOCIAL Y AFINES",NO INDICA,DIVORCIADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO MAYOR,63,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,165,"(6.42375, -66.58973)",1
CANADA,CAN,C. CALGARY,ADULTO,35,NINGUNA,NINGUNA,PRIMARIA,CASADO,MASCULINO,NINGUNA,165,"(56.130366, -106.346771)",1
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO MAYOR,60,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,CASADO,FEMENINO,SIN ETNIA REGISTRADA,165,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,38,CIENCIAS SOCIALES Y HUMANAS,"SOCIOLOGÍA, TRABAJO SOCIAL Y AFINES",NO INDICA,UNION_LIBRE,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",1
FRANCIA,FRA,C. PARIS,ADULTO MAYOR,64,NO INDICA,NO INDICA,NO INDICA,CASADO,MASCULINO,NINGUNA,182,"(46.227638, 2.213749)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO,37,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - TECNOLÓGICO,CASADO,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO MAYOR,78,NINGUNA,NINGUNA,NO INDICA,DIVORCIADO,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",3
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO,47,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,OTRO,160,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO MAYOR,76,NINGUNA,NINGUNA,NO INDICA,SOLTERO,DESCONOCIDO,OTRO,-1,"(6.42375, -66.58973)",2
ECUADOR,ECU,C. ESMERALDAS,ADULTO,58,NO INDICA,NO INDICA,PRIMARIA,DESCONOCIDO,FEMENINO,OTRO,155,"(-1.831239, -78.183406)",1
ITALIA,ITA,C. MILAN,ADULTO,49,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,NO INDICA,DIVORCIADO,FEMENINO,OTRO,-1,"(41.87194, 12.56738)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,32,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,165,"(40.463667, -3.74922)",1
CHILE,CHL,C. ANTOFAGASTA,ADULTO,34,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,AFRODESCENDIENTE,-1,"(-35.675147, -71.542969)",6
FRANCIA,FRA,C. PARIS,ADULTO,41,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,170,"(46.227638, 2.213749)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,40,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,147,"(-38.416097, -63.616672)",1
VENEZUELA,VEN,C. CARACAS,ADULTO,30,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",1
CANADA,CAN,C. MONTREAL,ADULTO,30,CIENCIAS DE LA SALUD,NUTRICIÓN Y DIETÉTICA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(56.130366, -106.346771)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO MAYOR,62,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",2
VENEZUELA,VEN,C. MARACAIBO,ADULTO MAYOR,92,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. BILBAO,ADULTO,52,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,163,"(40.463667, -3.74922)",1
MEXICO,MEX,C. GUADALAJARA,ADULTO,33,MATEMÁTICAS Y CIENCIAS NATURALES,FÍSICA,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(23.634501, -102.552784)",1
ESPAÑA,ESP,C. MADRID,ADULTO JOVEN,23,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",162
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO MAYOR,67,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,151,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO MAYOR,63,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,152,"(37.09024, -95.712891)",1
PERU,PER,C. LIMA,ADULTO JOVEN,23,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(-9.189967, -75.015152)",5
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,45,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,PREGRADO - PROFESIONAL,DIVORCIADO,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,42,"INGENIERÍA, ARQUITECTURA Y AFINES",ARQUITECTURA,POSTGRADO - MAESTRIA,SOLTERO,MASCULINO,NINGUNA,174,"(40.463667, -3.74922)",1
ECUADOR,ECU,C. NUEVA LOJA,ADULTO MAYOR,80,NO INDICA,NO INDICA,PRIMARIA,CASADO,MASCULINO,OTRO,165,"(-1.831239, -78.183406)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,48,CIENCIAS DE LA SALUD,SALUD PÚBLICA,POSTGRADO - MAESTRIA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. BARQUISIMETO,ADULTO,55,NINGUNA,NINGUNA,PREGRADO - TÉCNICO PROFESIONAL,CASADO,FEMENINO,NINGUNA,163,"(6.42375, -66.58973)",1
AUSTRALIA,AUS,C. CANBERRA,ADULTO,44,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,UNION_LIBRE,FEMENINO,NINGUNA,165,"(-25.274398, 133.775136)",1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO,33,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",2
ECUADOR,ECU,C. GUAYAQUIL,ADULTO MAYOR,65,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(-1.831239, -78.183406)",2
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO,43,NO INDICA,COCINA Y CULINARIA,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO MAYOR,84,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(6.42375, -66.58973)",2
TAILANDIA,THA,C. BANGKOK,ADULTO JOVEN,25,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,-1,"(15.870032, 100.992541)",1
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO,38,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,DESCONOCIDO,FEMENINO,OTRO,166,"(37.09024, -95.712891)",1
PANAMA,PAN,C. PANAMA,ADULTO,49,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,DIVORCIADO,MASCULINO,NINGUNA,169,"(8.537981, -80.782127)",1
MEXICO,MEX,C. MEXICO,ADULTO,35,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,POSTGRADO - ESPECIALIZACIÓN,CASADO,FEMENINO,NINGUNA,-1,"(23.634501, -102.552784)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,32,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,32,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,158,"(37.09024, -95.712891)",2
VENEZUELA,VEN,C. MERIDA VEN,ADULTO,44,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",2
ECUADOR,ECU,C. QUITO,ADULTO,42,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,169,"(-1.831239, -78.183406)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO MAYOR,69,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,175,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. PUERTO AYACUCHO,ADULTO JOVEN,27,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(6.42375, -66.58973)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,43,NO INDICA,NO INDICA,POSTGRADO - DOCTORADO,CASADO,FEMENINO,NINGUNA,156,"(-38.416097, -63.616672)",1
ESPAÑA,ESP,C. MADRID,ADULTO,42,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,170,"(40.463667, -3.74922)",4
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,36,NO INDICA,NO INDICA,POSTGRADO - ESPECIALIZACIÓN,SOLTERO,MASCULINO,NINGUNA,180,"(-38.416097, -63.616672)",1
ARUBA,ABW,C. ARUBA,ADULTO,39,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(12.52111, -69.968338)",6
VENEZUELA,VEN,C. SAN CRISTOBAL,ADULTO,50,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,UNION_LIBRE,FEMENINO,NINGUNA,160,"(6.42375, -66.58973)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,30,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,182,"(-38.416097, -63.616672)",1
BRASIL,BRA,C. SAO PAULO,ADULTO,41,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(-14.235004, -51.92528)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO MAYOR,66,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
FRANCIA,FRA,C. PARIS,ADULTO,51,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,CASADO,MASCULINO,NINGUNA,187,"(46.227638, 2.213749)",1
ECUADOR,ECU,C. QUITO,ADULTO MAYOR,73,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,-1,"(-1.831239, -78.183406)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO MAYOR,61,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,AFRODESCENDIENTE,-1,"(-38.416097, -63.616672)",1
ESPAÑA,ESP,C. MADRID,ADULTO,29,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,167,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO,56,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
PORTUGAL,PRT,C. LISBOA,ADULTO,39,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(39.399872, -8.224454)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO MAYOR,70,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,OTRO,176,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,41,CIENCIAS SOCIALES Y HUMANAS,"LENGUAS MODERNAS, FILOLOGÍA, LINGÜÍSTICA Y AFINES",PREGRADO - TÉCNICO PROFESIONAL,DESCONOCIDO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. PUERTO ORDAZ,ADULTO,53,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,168,"(6.42375, -66.58973)",1
VENEZUELA,VEN,C. BARINAS,ADULTO,54,NO INDICA,NO INDICA,NO INDICA,CASADO,FEMENINO,NINGUNA,156,"(6.42375, -66.58973)",1
JAPON,JPN,C. TOKIO,ADULTO,29,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(36.204824, 138.252924)",1
ESPAÑA,ESP,C. SEVILLA,ADULTO,53,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,173,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. MADRID,ADULTO MAYOR,69,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,PREGRADO - PROFESIONAL,DIVORCIADO,MASCULINO,NINGUNA,174,"(40.463667, -3.74922)",1
REPUBLICA DOMINICANA,DOM,C. SANTO DOMINGO,ADULTO,43,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(18.735693, -70.162651)",1
ESPAÑA,ESP,C. MADRID,ADULTO,43,NO INDICA,NO INDICA,POSTGRADO - ESPECIALIZACIÓN,SOLTERO,MASCULINO,OTRO,172,"(40.463667, -3.74922)",1
BELGICA,BEL,C. BRUSELAS,ADULTO JOVEN,27,CIENCIAS SOCIALES Y HUMANAS,"LENGUAS MODERNAS, FILOLOGÍA, LINGÜÍSTICA Y AFINES",NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(50.503887, 4.469936)",1
VENEZUELA,VEN,C. CARACAS,ADULTO,58,NO INDICA,NO INDICA,NINGUNO,SOLTERO,FEMENINO,NINGUNA,152,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. MADRID,ADULTO,38,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,174,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO,44,CIENCIAS SOCIALES Y HUMANAS,PSICOLOGÍA Y AFINES,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,171,"(37.09024, -95.712891)",1
CHILE,CHL,C. SANTIAGO,ADULTO,50,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA QUÍMICA Y AFINES,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(-35.675147, -71.542969)",1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO MAYOR,62,NINGUNA,NINGUNA,PREGRADO - PROFESIONAL,DIVORCIADO,FEMENINO,NINGUNA,155,"(37.09024, -95.712891)",1
AUSTRALIA,AUS,C. CANBERRA,ADULTO,46,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(-25.274398, 133.775136)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,28,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
PANAMA,PAN,C. PANAMA,ADULTO,59,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(8.537981, -80.782127)",1
ECUADOR,ECU,C. QUITO,ADULTO,35,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,NINGUNA,170,"(-1.831239, -78.183406)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,51,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,160,"(37.09024, -95.712891)",1
CURAÇAO,CUW,C. WILLEMSTAD,ADULTO,47,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - TECNOLÓGICO,CASADO,FEMENINO,NINGUNA,162,"(12.16957, -68.990021)",1
ESPAÑA,ESP,C. PALMA DE MALLORCA,ADULTO,46,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,NINGUNA,158,"(40.463667, -3.74922)",1
CURAÇAO,CUW,C. WILLEMSTAD,ADULTO MAYOR,73,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(12.16957, -68.990021)",1
ESPAÑA,ESP,C. MADRID,ADULTO,40,CIENCIAS DE LA SALUD,ENFERMERÍA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",3
ESPAÑA,ESP,C. SEVILLA,ADULTO,38,NINGUNA,NINGUNA,PRIMARIA,CASADO,MASCULINO,NINGUNA,165,"(40.463667, -3.74922)",1
ECUADOR,ECU,C. QUITO,ADULTO MAYOR,68,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,UNION_LIBRE,MASCULINO,SIN ETNIA REGISTRADA,-1,"(-1.831239, -78.183406)",1
COSTA RICA,CRI,C. SAN JOSE,ADULTO,54,NO INDICA,NO INDICA,BACHILLERATO,UNION_LIBRE,MASCULINO,OTRO,177,"(9.748917, -83.753428)",1
BELGICA,BEL,C. BRUSELAS,ADULTO,41,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,UNION_LIBRE,FEMENINO,OTRO,-1,"(50.503887, 4.469936)",2
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO MAYOR,69,NO INDICA,NO INDICA,BACHILLERATO,VIUDO,FEMENINO,SIN ETNIA REGISTRADA,170,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO MAYOR,68,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",2
ESPAÑA,ESP,C. BARCELONA,ADULTO,38,NO INDICA,AVIACIÓN,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. MADRID,ADULTO JOVEN,25,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,166,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO,57,BELLAS ARTES,DISEÑO,PREGRADO - PROFESIONAL,CASADO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
MEXICO,MEX,C. MEXICO,ADULTO,49,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(23.634501, -102.552784)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO MAYOR,61,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",PREGRADO - PROFESIONAL,UNION_LIBRE,MASCULINO,OTRO,181,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. SAN ANT DE TACHIRA,ADULTO,35,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO,45,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,PREGRADO - PROFESIONAL,DIVORCIADO,MASCULINO,OTRO,-1,"(-1.831239, -78.183406)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO,59,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,160,"(37.09024, -95.712891)",1
MEXICO,MEX,C. MEXICO,ADULTO MAYOR,79,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,PREGRADO - PROFESIONAL,VIUDO,FEMENINO,NINGUNA,-1,"(23.634501, -102.552784)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,22,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,INDÍGENA,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,54,CIENCIAS SOCIALES Y HUMANAS,"LENGUAS MODERNAS, FILOLOGÍA, LINGÜÍSTICA Y AFINES",PREGRADO - TÉCNICO PROFESIONAL,CASADO,FEMENINO,NINGUNA,160,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. CARACAS,ADULTO,41,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA ELECTRÓNICA, TELECOMUNICACIONES Y AFINES",NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,35,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",4
ESPAÑA,ESP,C. MADRID,ADULTO,41,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,164,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. MADRID,ADULTO,37,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(40.463667, -3.74922)",2
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO,32,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",4
